Role,Companies,Location,Experience,Skills
Data Scientist,Walmart,Other,0-5 Yrs,NA
Data Scientist - CrossTab IT Consulting,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
Data Scientist,Sentieo,Delhi,2-7 Yrs,"Text mining
Logistic regression
Equity research
Machine learning
Data collection
Hypothesis Testing
Workflow
data visualization"
Senior Associate Data Scientist,Medline Industries India Private Limited,Pune,2-4 Yrs,"Data Science
R
NLP
Statistical Modeling
Information Retrieval
Machine Learning
Deep Learning
Predictive Analytics"
Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
Data Scientist Jobs,Right Step Consulting,Noida,1-5 Yrs,"Visualization
Analytical
Calculus
Business intelligence
Forecasting
SQL
Python
AnalyticsSoftware services"
Data Scientist,Shadowfax Technologies Pvt. Ltd.,Gurgaon,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
MATLAB
Solid"
Data Scientist / Analyst,Hyrefox,Jaipur,2-7 Yrs,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
Urgent requirement For Data Scientist Position,Walchandnagar Industries Ltd.,Pune,2-5 Yrs,"SAP
Data Analyst
Power Builder
Data scinetist
Python"
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Mumbai,2-7 Yrs,"Unix
Linux
Machine learning
HTML
Perl
Predictive analytics
Ruby
SQL"
Data Scientist,NEEMTREE INTERNET PVT LTD,Mumbai,2-5 Yrs,"Supply chain
Computer science
C++
MySQL
Machine learning
Javascript
Data structures
Data mining"
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,2-7 Yrs,"Computer science
Data analysis
Tracking
Machine learning
Tools
Data collection
MSC
Data mining"
Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
Data Scientist,The Talent GPS,Mumbai,2-7 Yrs,"Computer science
Operations research
NoSQL
Machine learning
SCALA
data visualization
Forecasting
SQL"
Data Scientist - NLP/ R/ Python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Text Analytics
Information Retrieval
Text Mining
Data Analytics"
Data Scientist,Talentstack Consulting Private Limited,Mumbai,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
Senior Manager I - Data Scientist,Walmart,Other,0-5 Yrs,NA
Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,"Navi Mumbai, Mumbai",2-7 Yrs,"Computer science
Data analysis
Machine learning
Data collection
Predictive modeling
Data mining
big data
MATLAB"
Analyst - Data Scientist,Hyrefox,Gurgaon,1-3 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Business Analyst - Data Scientist,Hyrefox,Gurgaon,3-5 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
Senior Data Scientist,Baker Hughes Incorporated,Bengaluru,3-8 Yrs,"Computer science
Data analysis
SAS
Coding
Agile
Perl
Ruby
Distribution system"
Data Scientist,Seven Consultancy,Hyderabad,3-5 Yrs,"Computer science
advanced analytics
Data management
Renewable energy
data science
big data analytics
Analytical
Workflow"
Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
HiTech iSolutions LLP:: Data Scientist,Hi-Tech iSolutions LLP,"Pune, Ahmedabad",3-6 Yrs,"Data Science
R
Machine Learning
Python"
DATA SCIENTIST,Weatherford (CPS) DPS India,Mumbai,2-6 Yrs,"Computer science
GIT
Linux
Machine learning
Agile
Workflow
HTTP
SQL"
Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
Data Scientist,NOVIQUE HEALTH,"Pune, Delhi, Mumbai",2-7 Yrs,"data science
Insurance claims
Machine learning
Clinical trials
Healthcare
Product sales
Biochemistry
Open source"
Data Scientist,Bprise,Mumbai,3-7 Yrs,"Data analysis
data science
Neural networks
Analytical
Machine learning
Data collection
Data mining
big data"
Data Scientist,Toucon Consulting,Mumbai,1-5 Yrs,"Computer vision
deep learning
Opencv
Machine learning
Packaging
Data structures
Calculus
Statistics"
Data Scientist,Denave India Pvt Ltd.,India,2-5 Yrs,"Computer science
Data analysis
Team management
RDBMS
Machine learning
Information retrieval
Business intelligence
Data mining"
Data Scientist,Bloom Consulting Services,Bengaluru,2-5 Yrs,"rest
algorithms
python
Risk analytics
testing
Financial services
sql
Data architecture"
Data Scientist,EVC Ventures,Gurgaon,3-5 Yrs,"algorithms
python
css
rdbms
Forecasting
sql
nosql
Logistic regression"
Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
Data Scientist,EVC LAB PRIVATE LIMITED,Gurgaon,3-5 Yrs,"Logistic regression
deep learning
RDBMS
Neural networks
Analytical
Machine learning
Forecasting
SQL"
Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,2-3 Yrs,"Statistical analysis
SAP consulting
data science
Machine learning
Data collection
Data mining
MATLAB
Statistics"
Data Scientist,VSigma IT Labs Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
Data Scientist,MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,Chennai,3-7 Yrs,"R Programming
Machine learning
Programming
Statistics
Python"
Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
Data Scientist,Meesho,Bengaluru,1-3 Yrs,"Computer science
Neural networks
spark
Machine learning
Hadoop
E-commerce
big data
SQL"
TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Data Scientist
Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
Data Scientist Junior,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",2-7 Yrs,"Computer vision
deep learning
Literature
Image processing
Artificial Intelligence
Machine learning
Deployment
Food processing"
Data Scientist-Analytics & Insights,Hiring Joint,Noida,3-6 Yrs,"Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
Senior Data Scientist - Natural Language Processing,TNS holdings,Hyderabad,3-8 Yrs,"Text mining
Logistic regression
metadata
data science
Neural networks
Machine learning
Agile
Natural language processing"
Data Scientist,Dewi,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
Data Scientist,Seven Consultancy,Noida,4-6 Yrs,"Cloud computing
Linux
Bloomberg
Finance
Design development
Programming
Deployment
MongoDB"
Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
Data Scientist | Academic Operations,AXCESS CONSULTANCY SERVICES,Bengaluru,1-5 Yrs,"data cleansing
Automation
Data analysis
Operations Manager
data science
Manager Program Management
Data collection
Feasibility analysis"
Data Scientist _ Senior,AXCESS CONSULTANCY SERVICES,Kochi,1-5 Yrs,"Data analysis
Business analytics
Consulting
Machine learning
Data collection
Agile
Business intelligence
Information technology"
Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
Data Scientist,Intellectyx Inc,Coimbatore,2-7 Yrs,"deep learning
Python"
Data Scientist,RevenueCat,Remote,2-7 Yrs,"Data modeling
Database
Programming
Infrastructure
Wellness
Data warehousing
Product marketing
SQL"
Data Scientist,AGUILASS,"Hyderabad, Gurgaon",3-6 Yrs,"spark
SCALA
Machine learning
Hadoop
Data Analyst
Business intelligence
big data
Predictive analytics"
Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
Data scientist,Multi Recruit,Bengaluru,3-5 Yrs,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
Data Scientist,Miles,Bengaluru,2-7 Yrs,"Geometry
Version control
GIT
data science
Postgresql
Machine learning
Database
Scheduling"
Data Scientist,VSigma IT Labs Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,"Gurgaon, haryana",0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,Chennai,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,1-5 Yrs,"deep learning
data science
Analytics
Python"
TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
Data Scientist,Analytos,India,2-4 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
Data Scientist Junior,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",2-7 Yrs,"Computer vision
deep learning
Literature
Image processing
Artificial Intelligence
Machine learning
Deployment
Food processing"
Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
Data Scientist,Intellectyx Inc,Coimbatore,2-7 Yrs,"deep learning
Python"
Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
Data Scientist,TRUECONNECT PEOPLE CONSULTING,Kolkata,2-7 Yrs,"Data Engineering
Data Integration"
Data Scientist,Ank Aha Private Limited,Delhi,2-7 Yrs,"Graphics
Policies
Algorithms
MySQL
Machine learning
Hypothesis Testing
SPSS
Econometrics"
Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
Data Scientist-Analytics & Insights,Hiring Joint,Noida,3-6 Yrs,"Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
Junior Data Scientist,AICHUNKS Private Limited,Chandigarh,1-6 Yrs,Machine learning
Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
Data Scientist,QubeRoot Analytics,Bengaluru,3-8 Yrs,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
Data Scientist,Valence Health,Pune,3-6 Yrs,"Computer science
Administration
Claims
Analytical
Pharmacy
Machine learning
Healthcare
Analytics"
Data Scientist,Skillsoft,Hyderabad,1-3 Yrs,"Process design
Logistic regression
NPV
Agile
Predictive modeling
Continuous improvement
Business solutions
Talent management"
Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
A Data Scientists,CareerXperts Consulting,Pune,2-5 Yrs,"Computer science
Data analysis
Operations research
SAS
Linux
Business analytics
Social media
Data mining"
Sr. DATA SCIENTIST,defour analytics,Pune,3-8 Yrs,"Automation
Project management
Pharma
Analytical
Tools
data visualization
Data mining
Automotive"
Data Scientist,XIUS,Hyderabad,1-3 Yrs,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
Data Scientist,R3coder,Ahmedabad,1-6 Yrs,"github
Web technologies
Architecture
Artificial Intelligence
Machine learning
PHP
Customer experience
Internship"
Data Scientist,MIC Business Labs Pvt Ltd.,Meerut,2-7 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
Data Scientist,Talentstack Consulting Private Limited,Bengaluru,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
Machine Learning & Data Scientist - R/python,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,5-8 Yrs,"Java
Business Intelligence
R
ETL Tools
SCALA
Data Mining
Perl
Machine Learning"
Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
Data Scientist,Aditech IT and Consultancy Services Pvt Ltd,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Kolkata",4-9 Yrs,"SAS
Scala
Artificial Intelligence
AI
Random Forests
SVM
Machine Learning
Deep Learning"
Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
Data Scientist,Talentstack Consulting Private Limited,Delhi NCR,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
Associate Data Scientist,Augmance AI Labs Private Limited,Bengaluru,1-6 Yrs,"Nltk
Data Science
r
NLP
Artificial Intelligence
Keras
Marketing Analytics
Machine Learning"
Data Scientist,QubeRoot Analytics,Bengaluru,3-8 Yrs,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
Data Scientist - Artificial Intelligence/ Machine Learning- Noida,Shriv ComMedia Solutions Pvt. Ltd.,Noida(Sector-63 Noida),3-5 Yrs,"Data Science
Artificial Intelligence
Machine Learning
Deep Learning"
Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
Data Scientist,Mahajan Imaging,Delhi,2-6 Yrs,"Medical imaging
Focus
Clinical research
Data analytics
informatics
SQL"
Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
Data Scientist,R3coder,Ahmedabad,1-6 Yrs,"github
Web technologies
Architecture
Artificial Intelligence
Machine learning
PHP
Customer experience
Internship"
Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
Data Scientist,Analytos,India,2-4 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
Data Scientist,Ank Aha Private Limited,Delhi,2-7 Yrs,"Graphics
Policies
Algorithms
MySQL
Machine learning
Hypothesis Testing
SPSS
Econometrics"
Data Scientist - NLP(Natural Language Processing),KEYS Inc,Coimbatore,3-8 Yrs,"Computer science
deep learning
Skill development
Social media
Machine learning
Hadoop
Programming
Natural language processing"
Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Scientist
Data Analyst"
"Machine Learning , Data Scientist",Maestro Placement Consultancy Services,Mumbai,10-15 Yrs,"GIS
deep learning
Data modeling
Analytical
Machine learning
FMCG
microsoft
big data"
Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
Junior Data Scientist,Analytos,India,0-2 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
Data Scientist,The Art Of Living Human Resource,Coimbatore,3-6 Yrs,"Statistical analysis
Artificial Intelligence
Programming
MongoDB
HR
Management
Data mining
Statistics"
Senior Data Scientist,TechVantage Systems Private Limited,Trivandrum,2-5 Yrs,"Computer science
data cleansing
deep learning
Product engineering
Machine learning
Predictive modeling
data visualization
Data mining"
ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
Data Scientist,Sequretek IT Solutions Pvt. Ltd.,Bengaluru,1-4 Yrs,"IT Skills
Python
Data Science
Machine Learning
Computer science
algorithms
python
data security"
Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-6 Yrs,Data Scientist
Data Scientist,Telarix,Bengaluru,2-5 Yrs,"volte
Roaming
Management"
Data Scientist,Zyoin Web Pvt.Ltd,Bengaluru,2-6 Yrs,"Cluster analysis
Demand forecasting
Machine learning
big data
Statistics
Python"
Data Scientist,Lymbyc,Bengaluru,3-5 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
Data Scientist (Full time),Vicit Infot Tech,Bengaluru,2-7 Yrs,"data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
Data Scientist,Great Logics,"Hyderabad, Gurgaon",3-6 Yrs,"C
SOC verification
UVM"
Data Scientist Machine Learning,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-5 Yrs,"Usage
Machine learning"
Data Scientists,Pratibha Analytics,Hyderabad,2-7 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
Data Scientist,WeRecruit Talent,Bengaluru,2-5 Yrs,"Computer science
Machine learning
Hadoop
Packaging
Programming
Mathematics
Research
Data mining"
Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
Staff Data Scientist,Zendrive Inc,Bengaluru,4-7 Yrs,"Computer science
Interpersonal skills
data science
Machine learning
Signal processing
HTTP
Continuous improvement
Analytics"
Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
Data Scientist,Redian Software Pvt Ltd,Gurgaon,3-8 Yrs,"Unix
Computer science
Analytical skills
C++
NoSQL
Linux
data science
Machine learning"
Data Scientist Embedded Systems Innovation,CareerXperts Consulting,India,3-7 Yrs,"Unix
C++
GIT
Analytical
Consulting
Machine learning
Debugging
Product design"
Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-6 Yrs,Data Scientist
Data Analyst / Data Scientist,Veda Semantics,Bengaluru,3-5 Yrs,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
Data Scientist,Telarix,Bengaluru,2-5 Yrs,"volte
Roaming
Management"
Data Scientist,Lymbyc,Bengaluru,3-5 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
Data Scientist,Arraygen Technologies Pvt Ltd,Pune,1-4 Yrs,"Computer science
Logistic regression
Data analysis
Statistical modeling
Trend analysis
Hypothesis Testing
Design development
Predictive modeling"
Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
Data Scientist / Engineer,FrankPro Consulting [OPC],Ahmedabad,3-7 Yrs,Data Scientist / Engineer
Data Scientist,"Processware Systems,",Bengaluru,3-7 Yrs,"Computer science
data science
SSRS
Machine learning
Data collection
Programming
microsoft
Data mining"
Data Scientist,"Entytle, Iinc.",Pune,2-4 Yrs,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
Data Scientist,Scienaptic Systems,Bengaluru,3-5 Yrs,"CVS
deep learning
Social media analytics
Automation
Business analytics
Machine learning
Hypothesis Testing
Data mining"
Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
